year,branch,gender,type,tenth,twelve,higher_education,take_notes,prefer_tostudy,hoursstudy,time_relaxing,studymode,active_backlogs,backlog_history,participate_activities,attendance,cgpa,cgpaup,backlog,grade
4,ECE,Male,D,80,85,Yes,No,Just before exam,1,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,75-80 %,57,5.7,0,Low
4,ECE,Male,D,80,85,Yes,No,Just before exam,1,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,75-80 %,57,5.7,0,Low
4,ECE,Male,H,90,85.8,Yes,No,Just before exam,0,>5 hours,Class notes,0,11,Never,75-80 %,5.99,5.99,0,Low
4,CSE,Male,H,80,90,Maybe,Occasionally,Just before exam,2,2-5 hours,"Online Tutorials, Class notes",0,7,Never,80-90 %,5.8,5.8,0,Low
3,CSE,Female,H,95,95,Yes,Yes,Just before exam,1,2-5 hours,"Online Tutorials, Class notes, Textbook",0,0,Occasionally,above 90 %,7.4,7.4,0,Average
4,ECE,Female,D,97,96,Yes,Occasionally,Just before exam,3,<2 hours,Textbook,0,0,Occasionally,75-80 %,7.53,7.53,0,Good
4,Other,Male,D,83,80,Maybe,Yes,Daily,2,<2 hours,"Online Tutorials, Class notes",1,3,Occasionally,80-90 %,70,7,1,Below_average
4,CSE,Female,H,98,92,No,Occasionally,Just before exam,3,2-5 hours,"Online Tutorials, Class notes, Textbook",0,2,Occasionally,75-80 %,6.75,6.75,0,Average
4,CSE,Female,H,97,95,Maybe,Occasionally,Daily,1,>5 hours,Online Tutorials,0,0,Always,80-90 %,82,8.2,0,Good
4,CSE,Female,H,94,94,Maybe,Occasionally,Just before exam,1,<2 hours,Class notes,1,8,Always,75-80 %,6.8,6.8,1,Below_average
4,ECE,Male,D,83,81,Yes,Yes,Just before exam,2,2-5 hours,Class notes,0,0,Occasionally,80-90 %,7,7,0,Average
4,Other,Female,H,98,98,Yes,Yes,Just before exam,1,>5 hours,"Class notes, Textbook",0,0,Occasionally,80-90 %,7.87,7.87,0,Good
3,Other,Female,H,98,97.5,Yes,Yes,Just before exam,1,2-5 hours,Online Tutorials,0,0,Occasionally,above 90 %,9.34,9.34,0,Excellent
4,CSE,Female,D,9.8,97.6,Yes,No,Just before exam,1,>5 hours,Online Tutorials,0,0,Always,80-90 %,8.3,8.3,0,Good
4,ECE,Male,H,88,88.8,Yes,No,Just before exam,2,>5 hours,Class notes,0,1,Occasionally,75-80 %,6.94,6.94,0,Average
4,CSE,Female,H,90,92,Yes,Yes,Just before exam,1,>5 hours,Class notes,0,0,Always,80-90 %,6.2,6.2,0,Below_average
1,CSE,Male,H,93,95,Yes,Yes,Daily,2,2-5 hours,Textbook,0,0,Occasionally,80-90 %,8,8,0,Good
2,ECE,Female,H,98,96,Yes,Yes,Daily,2,2-5 hours,Textbook,0,0,Occasionally,80-90 %,8.9,8.9,0,Excellent
4,ECE,Male,D,91.25,94.7,Yes,Yes,Daily,1,<2 hours,"Online Tutorials, Class notes",0,0,Always,80-90 %,8.26,8.26,0,Good
4,EIE,Male,H,80,90,Yes,Yes,Daily,1,<2 hours,Online Tutorials,0,0,Always,80-90 %,7.5,7.5,0,Good
4,EEE,Female,H,92,92,Yes,Occasionally,Just before exam,1,>5 hours,Class notes,0,0,Always,above 90 %,6.8,6.8,0,Average
4,ECE,Male,D,9.3,9.4,Yes,Occasionally,Just before exam,0,2-5 hours,"Online Tutorials, Class notes",0,0,Occasionally,80-90 %,7.5,7.5,0,Good
4,CSE,Female,H,10,98.2,No,Yes,Just before exam,1,>5 hours,Textbook,0,0,Occasionally,80-90 %,8.25,8.25,0,Good
4,Other,Female,H,97,96,Maybe,Yes,Daily,1,<2 hours,"Online Tutorials, Class notes, Textbook",0,0,Always,75-80 %,7.5,7.5,0,Good
4,CSE,Female,H,95,97,Maybe,Occasionally,Just before exam,0,>5 hours,Class notes,0,0,Occasionally,75-80 %,7.9,7.9,0,Good
4,ECE,Female,H,93,95.7,Yes,Yes,Just before exam,1,2-5 hours,"Class notes, Textbook",0,0,Occasionally,80-90 %,7.4,7.4,0,Average
